model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size
20	Adam	0.0003		0.8	0.95	4	1115.0911612510681	1146.9487767219543	8302.42333984375	0.526005240481671	105.119744	401	11.534472	3.6154635027197717	262144
20	Adam	0.001		0.8	0.95	4	1245.5606954097748	1250.23011136055	8302.42333984375	0.4803918256950141	104.890368	3201	11.534472	3.4083448872884436	32768
20	Adam	0.001		0.8	0.95	4	1181.5100736618042	1190.2011079788208	8302.42333984375	0.5050058935389526	104.923136	1601	11.534472	3.454513763652611	65536
20	Adam	0.001		0.8	0.95	4	1115.0107436180115	1146.759213924408	8302.42333984375	0.52604317742233	105.119744	401	11.534472	3.5834282897538428	262144
20	Adam	0.04		0.8	0.95	4	1248.611670255661	1253.287026166916	8302.42333984375	0.47921799125851167	104.890368	3201	11.534472	3.5514379803644136	32768
20	Adam	0.04		0.8	0.95	4	1185.340645313263	1194.0308012962341	8302.42333984375	0.5033739059181294	104.923136	1601	11.534472	3.603270467444608	65536
20	Adam	0.04		0.8	0.95	4	1116.123258113861	1147.8750772476196	8302.42333984375	0.5255188351007534	105.119744	401	11.534472	3.82373846187473	262144
20	Adam	0.0001		0.8	0.95	6	6343.954781293869	6385.1938054561615	13424.34716796875	0.6097160298518624	275.283968	8401	26.345772	3.1428487040555875	32768
20	Adam	0.0001		0.8	0.95	6	6057.902190685272	6074.666821241379	13505.599609375	0.6378218166435285	275.316736	4201	26.345772	3.101328233033469	65536
20	Adam	0.0003		0.8	0.95	6	6328.647305727005	6338.927289485931	13505.599609375	0.6111907862695942	275.283968	8401	26.345772	3.1231948219898524	32768
20	Adam	0.0003		0.8	0.95	6	6050.123344421387	6066.8583290576935	13505.599609375	0.6386418855203055	275.316736	4201	26.345772	3.0832322270495767	65536
20	Adam	0.001		0.8	0.95	6	6344.432040214539	6354.811959028244	13505.599609375	0.6096701640576545	275.283968	8401	26.345772	3.1043946380608802	32768
20	Adam	0.001		0.8	0.95	6	6044.108658075333	6060.816144704819	13505.599609375	0.6392774185403358	275.316736	4201	26.345772	3.0664145888499825	65536
20	Adam	0.04		0.8	0.95	6	6355.542300462723	6403.117237329483	13424.34716796875	0.6086043865255404	275.283968	8401	26.345772	3.2910280708888813	32768
20	Adam	0.04		0.8	0.95	6	6075.156776666641	6091.933311700821	13505.599609375	0.6360102829200965	275.316736	4201	26.345772	3.2689239453030354	65536
40	Adam	0.001		0.8	0.95	6	12395.527027130127	12452.357023000717	13503.349609375	0.6240978563225766	550.567936	8401	26.345772	2.9950407132850185	65536
40	Adam	0.001		0.8	0.95	6	12085.063436031342	12117.639640569687	13505.599609375	0.639444252943129	550.633472	4201	26.345772	2.9818648423177025	131072
