model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size
20	SGD	0.0003	0.99			4	1178.398000240326	1187.0789651870728	8300.42333984375	0.5063395816635522	104.923136	1601	11.534472	3.536102471793386	65536
20	SGD	0.0003	0.99			4	1141.7387506961823	1157.9752502441406	8300.42333984375	0.5196410282992396	104.988672	801	11.534472	3.5781002545483602	131072
20	SGD	0.001	0.5			4	1239.2332367897034	1243.9007358551025	8300.42333984375	0.4828446806607025	104.890368	3201	11.534472	3.5118337946860048	32768
20	SGD	0.001	0.5			4	1178.257786989212	1186.9279367923737	8300.42333984375	0.5063998363206372	104.923136	1601	11.534472	3.5377753696095007	65536
20	SGD	0.001	0.5			4	1141.6785216331482	1157.902203321457	8300.42333984375	0.5196684418764029	104.988672	801	11.534472	3.5805085492033224	131072
20	SGD	0.001	0.85			4	1240.038202047348	1244.7282831668854	8300.42333984375	0.4825312441938835	104.890368	3201	11.534472	3.509509800765356	32768
20	SGD	0.001	0.85			4	1178.6196341514587	1187.3038036823273	8300.42333984375	0.5062443668727973	104.923136	1601	11.534472	3.5368219074468645	65536
20	SGD	0.001	0.85			4	1141.7053496837616	1157.9296615123749	8300.42333984375	0.5196562305897827	104.988672	801	11.534472	3.581540803857938	131072
20	SGD	0.001	0.9			4	1239.7835607528687	1244.4494128227234	8300.42333984375	0.4826303521225074	104.890368	3201	11.534472	3.5105705711602258	32768
20	SGD	0.001	0.9			4	1178.3784337043762	1187.0587990283966	8300.42333984375	0.5063479892441257	104.923136	1601	11.534472	3.536064344977118	65536
20	SGD	0.001	0.9			4	1141.5745458602905	1157.7900292873383	8300.42333984375	0.5197157738076112	104.988672	801	11.534472	3.5814289356395963	131072
20	SGD	0.001	0.99			4	1239.507210969925	1244.172441959381	8300.42333984375	0.48273795520207863	104.890368	3201	11.534472	3.5028084449259964	32768
20	SGD	0.001	0.99			4	1178.389668226242	1187.0720663070679	8300.42333984375	0.5063431618277707	104.923136	1601	11.534472	3.527924444090913	65536
20	SGD	0.001	0.99			4	1141.826408147812	1158.0644536018372	8300.42333984375	0.5196011357131356	104.988672	801	11.534472	3.5779917214483428	131072
20	SGD	0.04	0.5			4	1267.826985359192	1308.4293327331543	8266.42138671875	0.47195491450462435	104.890368	3201	11.534472	3.5040710465590057	32768
20	SGD	0.04	0.5			4	1202.604029417038	1211.454253911972	8300.42333984375	0.4961479721335115	104.923136	1601	11.534472	3.5318715223787724	65536
20	SGD	0.04	0.5			4	1164.7042391300201	1181.2580766677856	8300.42333984375	0.5093948133167409	104.988672	801	11.534472	3.575346414149779	131072
20	SGD	0.04	0.9			4	1265.2333815097809	1269.9865553379059	8300.42333984375	0.4729223756077664	104.890368	3201	11.534472	3.4760775586443073	32768
20	SGD	0.04	0.9			4	1201.2567028999329	1210.097716331482	8300.42333984375	0.4967044504596258	104.923136	1601	11.534472	3.512552514283341	65536
20	SGD	0.04	0.9			4	1164.503191947937	1181.061635017395	8300.42333984375	0.5094827584529099	104.988672	801	11.534472	3.566049894861867	131072
20	SGD	0.04	0.99			4	1263.4804136753082	1268.2386100292206	8300.42333984375	0.47357851376683086	104.890368	3201	11.534472	3.4340146397291083	32768
20	SGD	0.04	0.99			4	1200.991929769516	1209.8143000602722	8300.42333984375	0.4968139549358677	104.923136	1601	11.534472	3.482242241754701	65536
20	SGD	0.04	0.99			4	1164.3489739894867	1180.8955335617065	8300.42333984375	0.5095502394166325	104.988672	801	11.534472	3.545089985549567	131072
20	SGD	0.04	0.9			6	6438.904505729675	6480.191458702087	13417.59716796875	0.6007250021130579	275.283968	8401	26.345772	3.1519799079030224	32768
20	SGD	0.04	0.9			6	6169.2527668476105	6186.269212961197	13498.849609375	0.626309591507638	275.316736	4201	26.345772	3.120658295779978	65536
20	SGD	0.04	0.9			6	6024.964338302612	6057.580914974213	13498.849609375	0.6399315379849724	275.382272	2101	26.345772	3.1242758663059447	131072
20	SGD	0.04	0.99			6	6435.970679521561	6446.04642534256	13498.849609375	0.6009988415761053	275.283968	8401	26.345772	3.117034004716283	32768
20	SGD	0.04	0.99			6	6167.901057243347	6184.913499355316	13498.849609375	0.6264468486851164	275.316736	4201	26.345772	3.083573004635701	65536
20	SGD	0.04	0.99			6	6022.07052898407	6054.800054073334	13498.849609375	0.6402390468125321	275.382272	2101	26.345772	3.096183455046972	131072
20	SGD	0.001	0.9			6	6311.537859678268	6360.045698881149	13417.59716796875	0.6128476147661751	275.283968	8401	26.345772	3.200215750520666	32768
20	SGD	0.001	0.9			6	6033.71830868721	6050.362081289291	13498.849609375	0.6403782846057946	275.316736	4201	26.345772	3.140008290500065	65536
20	SGD	0.001	0.9			6	5898.725380420685	5930.586524486542	13498.849609375	0.6536267492825087	275.382272	2101	26.345772	3.141588011174126	131072
20	SGD	0.001	0.99			6	6338.084760427475	6347.969839334488	13498.849609375	0.6102807187055286	275.283968	8401	26.345772	3.176919753578478	32768
20	SGD	0.001	0.99			6	6034.643804311752	6051.3245186805725	13498.849609375	0.6402800737884418	275.316736	4201	26.345772	3.1330624242163623	65536
20	SGD	0.001	0.99			6	5897.453199863434	5929.4653306007385	13498.849609375	0.6537677476446756	275.382272	2101	26.345772	3.1467470033918246	131072
40	SGD	0.001	0.99			4	2492.544245481491	2526.132287979126	8266.42138671875	0.48079466639084983	209.747968	6401	11.534472	3.3888314884408497	32768
40	SGD	0.001	0.99			4	2359.804811477661	2368.4134905338287	8300.42333984375	0.5071242956803483	209.780736	3201	11.534472	3.368590543249642	65536
40	SGD	0.04	0.99			4	2480.7605600357056	2486.388587474823	8300.42333984375	0.48307845516274145	209.747968	6401	11.534472	3.3123511152506198	32768
40	SGD	0.04	0.99			4	2358.275568008423	2366.867068052292	8300.42333984375	0.5074531446612655	209.780736	3201	11.534472	3.296872218223911	65536
